customer_ID,product_ID,Transaction Type,Category,Amt (in dollars),Payment Date,Payment Mode
CUST2025UE,251,Grocery Shopping,Walmart,190.34,07/06/2025,PayPal
CUST2025QB,300,Grocery Shopping,Trader Joe's,370.93,11/27/2025,Credit Card
CUST2025UI,293,Hotel Stay,Hilton,1899.16,01/23/2025,Credit Card
CUST2025SB,253,Hotel Stay,Maldives Resort,2992.57,05/01/2025,Debit Card
CUST2025LU,230,Grocery Shopping,Walmart,490.94,04/14/2025,Apple Pay
CUST2025TT,232,Subscription Payment,Amazon Prime,25.84,06/12/2025,Debit Card
CUST2025LI,249,Camera Equipment,Nikon Z6,3829.25,05/28/2025,Debit Card
CUST2025VJ,282,Retail Space Lease,Pop-up Storefront,141035.49,09/10/2025,Google Pay
CUST2025DA,213,Retail Space Lease,Pop-up Storefront,488205.99,05/30/2025,Credit Card
CUST2025CQ,224,Grocery Shopping,Whole Foods,135.99,10/24/2025,Credit Card
CUST2025UD,288,Grocery Shopping,Trader Joe's,206.17,08/03/2025,Google Pay
CUST2025BV,297,Gym Membership,Equinox,126.11,04/15/2025,Apple Pay
CUST2025XT,264,Luxury Shopping,Louis Vuitton,4427.45,03/27/2025,Debit Card
CUST2025CK,285,Camera Equipment,Nikon Z6,3867.62,01/03/2025,Credit Card
CUST2025KG,240,Camera Equipment,Nikon Z6,1380.41,10/09/2025,Google Pay
CUST2025QV,290,Grocery Shopping,Whole Foods,329.64,11/21/2025,Debit Card
CUST2025SK,228,Subscription Payment,Amazon Prime,45.86,04/30/2025,Apple Pay
CUST2025MZ,279,Grocery Shopping,Trader Joe's,289.31,10/27/2025,Credit Card
CUST2025GO,201,BNPL Purchase,iPhone,1751.03,05/27/2025,Debit Card
CUST2025BS,255,Hotel Stay,Ritz-Carlton,2195.25,04/03/2025,Credit Card
CUST2025LG,229,Grocery Shopping,Walmart,189.27,01/01/2025,Debit Card
CUST2025DV,239,Luxury Shopping,Prada,7758.74,09/09/2025,Apple Pay
CUST2025SJ,231,Subscription Payment,Netflix,8.82,02/20/2025,Credit Card
